timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
106,20,3,0,3,2,2,3,1,1,1,104,1,3,3,3,2,2,0,0,1,0,0,0,0
103,21,1,0,1,2,3,3,2,3,2,119,0,3,3,2,3,3,0,1,0,0,0,0,0
110,20,1,1,1,3,3,2,2,3,2,120,0,2,2,2,2,1,0,0,0,0,0,0,1
135,15,2,1,1,2,1,3,3,3,3,98,0,3,3,2,3,2,0,0,0,0,1,0,0
109,22,3,0,3,3,2,1,2,2,1,128,0,1,3,1,3,3,0,1,0,0,0,0,0
98,19,2,1,1,1,2,2,3,3,3,151,0,1,2,3,2,1,0,0,0,0,0,0,0
100,19,3,1,1,1,2,1,1,1,3,159,1,2,3,3,1,2,0,0,0,0,0,0,1
115,18,2,0,1,3,3,1,2,1,2,110,0,2,3,3,1,3,0,0,0,0,0,0,0
100,20,3,1,1,2,1,3,2,3,2,86,0,3,2,1,3,2,0,1,0,0,0,0,0
133,20,2,1,3,1,3,3,2,2,3,121,0,3,3,1,3,2,0,0,0,0,0,1,0
115,19,3,0,3,1,2,1,3,2,3,124,0,3,3,2,1,3,0,1,0,0,0,0,0
123,22,3,0,3,1,2,3,1,2,2,118,1,2,3,1,3,3,0,0,0,0,0,0,0
119,22,2,0,3,1,3,3,2,2,3,137,1,2,3,1,3,3,0,1,0,0,0,0,0
114,22,2,0,3,2,2,1,3,3,2,113,0,3,2,1,3,2,0,0,0,0,1,0,0
140,21,3,1,3,2,2,1,2,3,3,90,0,1,3,1,2,2,0,0,0,0,0,0,1
114,22,3,1,1,1,2,1,3,1,3,124,1,3,3,2,1,2,0,0,0,0,0,0,1
102,19,3,1,3,2,2,1,1,2,3,131,0,1,1,2,3,2,0,0,0,0,1,0,0
131,19,1,1,3,1,3,2,3,3,3,119,1,3,3,1,2,3,0,0,0,0,0,0,1
110,20,2,0,2,2,2,3,2,2,3,90,1,2,2,2,2,2,0,0,0,0,0,0,0
111,11,3,0,2,1,1,2,1,1,2,145,1,2,2,2,3,1,1,0,0,0,0,0,0
97,19,3,1,1,3,2,1,1,3,3,138,0,3,3,3,3,1,0,1,0,0,0,0,0
146,19,1,0,2,3,1,3,2,2,3,94,1,2,2,2,2,3,0,0,0,0,0,1,0
124,19,1,0,3,3,1,2,1,3,3,117,1,1,1,3,1,2,0,0,0,0,0,0,1
115,21,3,1,1,1,1,3,2,1,2,118,1,3,3,3,3,2,0,1,0,0,0,0,0
104,14,2,0,3,2,1,1,3,3,3,153,1,3,1,1,2,1,0,0,0,0,0,1,0
115,21,1,0,1,1,1,1,1,1,2,110,1,1,2,1,1,2,0,1,0,0,0,0,0
104,15,1,0,2,1,1,3,1,2,3,146,0,2,3,2,1,1,0,0,0,1,0,0,0
112,15,2,1,1,3,1,2,2,3,2,98,0,3,3,1,3,1,0,0,0,0,1,0,0
138,21,3,1,3,3,2,3,1,1,2,99,1,1,1,3,1,1,0,0,0,0,0,0,0
